"Name";"ISIN";"Symbol";"Market";"Trading Currency";"Open";"High";"Low";"Last";"Last Date/Time";"Time Zone";"Volume";"Turnover"
"European Equities";"";;;;;;;;;;;
"10 Jan 2019";;;;;;;;;;;;
"All datapoints provided as of end of last active trading day.";;;;;;;;;;;;
"1000MERCIS";"FR0010285965";"ALMIL";"Euronext Growth Paris";"EUR";"25.90";"26.60";"25.60";"26.60";"10/01/2019 17:06";"CET";"3441";"89389.70"
"2CRSI";"FR0013341781";"2CRSI";"Euronext Paris";"EUR";"8.96";"8.96";"8.84";"8.96";"10/01/2019 17:12";"CET";"11643";"104202.96"
"2VALORISE";"BE0974275076";"VALOR";"Euronext Brussels";"EUR";"5.90";"5.90";"5.90";"5.90";"10/01/2019 13:41";"CET";"203";"1197.70"
"4SERVICE CLOUD";"CH0299791381";"MLOVE";"Euronext Access Paris";"EUR";"0.09";"0.09";"0.09";"0.09";"27/12/2018 16:30";"CET";"100";"9.00"
"A TOUTE VITESSE";"FR0010050773";"MLATV";"Euronext Access Paris";"EUR";"1.70";"1.70";"1.70";"1.70";"11/12/2018 11:30";"CET";"500";"850.00"
"A.S.T. GROUPE";"FR0000076887";"ASP";"Euronext Paris";"EUR";"6.16";"6.20";"5.91";"6.09";"10/01/2019 17:35";"CET";"20850";"126662.70"
"AALBERTS INDUSTR";"NL0000852564";"AALB";"Euronext Amsterdam";"EUR";"29.09";"29.58";"28.99";"29.58";"10/01/2019 17:35";"CET";"286525";"8430659.43"
"AB INBEV";"BE0974293251";"ABI";"Euronext Brussels";"EUR";"60.51";"61.22";"60.05";"61.22";"10/01/2019 17:39";"CET";"1620498";"98473380.49"
"AB SCIENCE";"FR0010557264";"AB";"Euronext Paris";"EUR";"3.83";"3.96";"3.776";"3.946";"10/01/2019 17:35";"CET";"31747";"124205.97"
"ABC ARBITRAGE";"FR0004040608";"ABCA";"Euronext Paris";"EUR";"6.20";"6.27";"6.16";"6.21";"10/01/2019 17:35";"CET";"46448";"288838.25"
"ABEO";"FR0013185857";"ABEO";"Euronext Paris";"EUR";"32.10";"32.50";"32.00";"32.50";"10/01/2019 17:16";"CET";"1217";"39132.70"
"ABIVAX";"FR0012333284";"ABVX";"Euronext Paris";"EUR";"10.64";"11.10";"10.64";"10.70";"10/01/2019 17:35";"CET";"16068";"174530.44"
"ABN AMRO Group";"NL0011540547";"ABN";"Euronext Amsterdam";"EUR";"21.36";"21.72";"21.35";"21.70";"10/01/2019 17:39";"CET";"2169446";"46849011.77"
"ABO GROUP";"BE0974278104";"ABO";"Euronext Brussels";"EUR";"2.48";"2.48";"2.48";"2.48";"09/01/2019 11:30";"CET";"100";"248.00"
"ACACIA PHARMA";"GB00BYWF9Y76";"ACPH";"Euronext Brussels";"EUR";"1.695";"1.695";"1.6302";"1.662";"10/01/2019 17:35";"CET";"52803";"88034.4236"
"ACANTHE DEV.";"FR0000064602";"ACAN";"Euronext Paris";"EUR";"0.516";"0.52";"0.499";"0.51";"09/01/2019 16:25";"CET";"13760";"7004.47"
"ACCELL GROUP";"NL0009767532";"ACCEL";"Euronext Amsterdam";"EUR";"18.70";"18.98";"18.66";"18.84";"10/01/2019 17:35";"CET";"46422";"876060.30"
"ACCENTIS";"BE0003696102";"ACCB";"Euronext Brussels";"EUR";"0.0405";"0.0405";"0.0405";"0.0405";"10/01/2019 16:43";"CET";"325000";"13162.50"
"ACCOR";"FR0000120404";"AC";"Euronext Paris";"EUR";"37.55";"37.86";"37.34";"37.65";"10/01/2019 17:35";"CET";"793470";"29859341.37"
"ACCOR NV19";"FR0013390556";"ACNV";"Euronext Paris";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"ACCSYS";"GB00BQQFX454";"AXS";"Euronext Amsterdam";"EUR";"1.37";"1.38";"1.33";"1.37";"10/01/2019 17:35";"CET";"102209";"138544.185"
"ACHETER-LOUER.FR";"FR0010493510";"ALALO";"Euronext Growth Paris";"EUR";"0.022";"0.0224";"0.021";"0.022";"10/01/2019 17:15";"CET";"1840182";"39991.823"
"ACKERMANS V.HAAREN";"BE0003764785";"ACKB";"Euronext Brussels";"EUR";"138.60";"138.60";"137.30";"138.50";"10/01/2019 17:35";"CET";"17699";"2445570.00"
"ACTEOS";"FR0000076861";"EOS";"Euronext Paris";"EUR";"1.54";"1.845";"1.54";"1.84";"10/01/2019 17:35";"CET";"28407";"48775.245"
"ACTIA GROUP";"FR0000076655";"ATI";"Euronext Paris";"EUR";"3.55";"3.61";"3.415";"3.465";"10/01/2019 17:35";"CET";"55571";"195002.655"
"ACTIPLAY (GROUPE)";"FR0011038348";"ALACT";"Euronext Growth Paris";"EUR";"0.95";"0.95";"0.95";"0.95";"10/01/2019 09:00";"CET";"1";"0.95"
"ACTIVIUM GROUP";"FR0010979377";"MLACT";"Euronext Access Paris";"EUR";"0.65";"0.65";"0.65";"0.65";"09/01/2019 16:30";"CET";"566";"367.90"
"ADA";"FR0000053076";"ALADA";"Euronext Growth Paris";"EUR";"8.25";"8.25";"8.25";"8.25";"10/01/2019 09:00";"CET";"1";"8.25"
"ADC SIIC";"BE0974269012";"ALDV";"Euronext Paris";"EUR";"0.10";"0.10";"0.10";"0.10";"27/12/2018 11:30";"CET";"300";"30.00"
"ADEUNIS";"FR0013284627";"ALARF";"Euronext Growth Paris";"EUR";"7.269";"7.269";"7.269";"7.269";"10/01/2019 11:01";"CET";"161";"1170.309"
"ADL PARTNER";"FR0000062978";"ALP";"Euronext Paris";"EUR";"13.50";"13.55";"13.50";"13.55";"10/01/2019 16:47";"CET";"289";"3913.45"
"ADOCIA";"FR0011184241";"ADOC";"Euronext Paris";"EUR";"16.50";"16.50";"15.70";"16.18";"10/01/2019 17:35";"CET";"15619";"251528.98"
"ADOMOS";"FR0013247244";"ALADO";"Euronext Growth Paris";"EUR";"0.784";"0.784";"0.76";"0.774";"10/01/2019 16:12";"CET";"67950";"52623.28"
